145.0
3 / 4
Note/Rest,Octave,Len,Offset
F,6,0.625,110.375
G,5,0.75,111.125
D,4,1.125,114.0
E,3,0.25,115.625
C,2,1.625,117.0
B,3,0.625,119.0
C#,3,0.25,119.625
F#,2,2.125,120.0
B,2,0.125,127.625
G,3,0.666666666667,129.0
D,4,0.125,131.75
A,5,0.75,132.0
D,4,0.125,133.5
E,4,1.0,133.625
C,4,0.5,138.125
C,5,0.625,139.625
B-,3,0.875,142.666666667
D,3,0.875,144.0
G,4,2.25,147.0
G,2,1.25,150.625
G,4,0.75,153.0
F,3,0.5,154.625
F,4,1.875,157.0
E,5,0.375,159.125
C,5,0.333333333333,160.125
D,5,0.5,161.0
C,5,0.625,163.0
E,4,0.25,164.0
F,4,0.333333333333,166.625
D,4,0.875,172.625
B,2,1.5,174.0
B,3,1.375,177.0
B,3,0.333333333333,184.625
B,2,0.375,187.75
A,3,0.25,190.666666667
F,4,1.25,192.0
E-,3,1.125,193.666666667
C#,4,0.875,195.125
C,4,0.125,196.625
E,5,0.333333333333,198.125
A,4,0.25,199.125
E,5,0.25,199.875
C,5,0.25,200.333333333
C,6,0.25,202.0
D,5,1.5,202.75
G,5,0.5,205.125
E-,5,0.375,206.333333333
B-,5,0.375,208.5
E-,5,0.5,209.75
G#,4,0.5,213.0
C,4,0.25,215.333333333
C,4,0.666666666667,216.25
F,4,0.25,217.125
C,5,0.25,218.125
C,5,0.25,218.5
C,4,0.25,219.0
C,4,0.375,219.666666667
G,4,0.375,220.625
G,3,1.125,224.875
F,4,0.125,226.375
G,4,0.125,228.25
G,3,0.5,229.75
C,4,2.125,232.375
B,3,2.125,236.25
G,3,1.5,240.75
F#,7,0.375,253.125
C,1,0.25,253.5
E-,3,1.5,342.125
E-,5,0.125,343.666666667
C,5,0.75,344.125
B-,3,0.375,345.125
G#,2,0.333333333333,348.0
E-,4,0.25,349.0
E-,5,0.125,349.625
C,5,0.25,353.125
D,3,2.33333333333,360.25
